page,country,rev_id,prediction
Burhan Muhammad,Indonesia,664532059,Stub
Martim Afonso de Brito,Portugal,664669156,Stub
Gonghe Regency,China,664787336,Stub
Irshadali Sumra,Kenya,664793790,Stub
Koufu,China,664814622,Stub
Political families of Odisha,India,664822251,Stub
Firmin Aerts,Belgium,666029819,Stub
James Cotterell Hoole,Cape Colony,666596918,Stub
Philip Johannes Andries Watermeyer,South Africa,666610075,Start
Ioan Rus,Romania,666752677,Stub
Pieter Adrianus Ossewaarde,Netherlands,667194771,Stub
Christoffel van Swoll,Netherlands,667198201,Start
National Foundation for Women Legislators,United States,667815878,Start
Les Scheininger,Canada,667821864,C
Patrick Canning,Canada,667873261,Start
Kalina Krumova,Bulgaria,667906849,Start
Pierre Chatenet,France,668091068,Stub
Henry Soum,Monaco,668095014,Stub
Brij Bhushan Mehra,India,668258382,Stub
Aurelian Pavelescu,Romania,668449610,Stub
Madut Kon Awan,South Sudan,668830946,Stub
Taieb Ghafes,Morocco,669266906,Stub
Teodor Andrault de Langeron,Poland,669301445,Stub
Harry Davies (politician),Rhodesian,669387487,Start
Ghassan Ashqar,Lebanon,669444168,Stub
Magnús Orri Schram,Iceland,669565720,Stub
Wusu Sannoh,Sierra Leone,669571173,Stub
Kuri II of Kanem,Chad,669719757,Stub
Laroussi Mizouri,Tunisia,669831602,Stub
Hashid Abdullah al-Ahmar,Yemen,669833212,Stub
Erkin Alymbekov,Kyrgyzstan,669833349,Stub
Angelo Staniscia,Italy,669835390,Stub
Malik Adnan Hayat Noon,Pakistan,669841183,Stub
Samou Seidou Adambi,Benin,669855022,Stub
Porfirio Smerdou,Mexico,669862709,Stub
Lise Nordin,Sweden,669869895,Stub
Fletcher Dulini,Zimbabwe,669981316,Stub
Krzysztof Abrahamowicz,Poland,669985109,Stub
Dilaver Bey,Turkey,669987106,Stub
Horace Mann Thu-Jaune,Madagascar,670134982,Stub
Patrick Goold,Cape Colony,670210734,Start
Murad Quenili,Afghanistan,670462475,Stub
Bir II of Kanem,Chad,670893206,Stub
Gerald Hill (politician),Canada,670917017,Stub
List of Presidents of Alsace,France,670960027,Stub
John R. O'Dea,Canada,670971940,Stub
Annaberdi Kakabaýew,Turkmenistan,671016281,Stub
Salim Yahya al-Kharega,Yemen,671023940,Stub
Faida Mohamed Bakar,Tanzania,671029717,Stub
Hosea Kiplagat,Kenya,671032132,Stub
Michael D. Lett,Grenada,671047987,Stub
Than Sina,Cambodia,671073599,Stub
Samuel J. Hefferton,Canada,671122320,Start
Armen Rustamyan,Armenia,671189093,Stub
Abdulahi Ahmed Afrah,Somalia,671338098,Stub
Ólafur Garðar Einarsson,Iceland,671338216,Stub
Badar,Afghanistan,671455150,Stub
Dušan Švantner,Slovakia,671461616,Stub
Óli Þorbjörn Guðbjartsson,Iceland,671462644,Stub
Mohammed Qalamuddin,Afghanistan,671473289,Stub
Patrick Bourson,France,671475479,Stub
Lininy,Madagascar,671483959,Stub
Azeez Issa Adesiji,Nigeria,671511760,Stub
Toluono Feti,Samoan,671515606,Stub
Ali al-Bahadili,Iraq,671516033,Stub
Valerian Revenco,Moldova,671637265,Stub
Presidential Palace Historical Site,Vietnam,671868722,Stub
Viktor Antonov,Russia,671890885,Stub
Elsa Malpartida,Peru,671891037,Stub
Rasoanaivo,Madagascar,671895550,Stub
Sadio Lamine Sow,Mali,671897239,Stub
Narayan Sharma Paudel,Nepal,671903264,Stub
Mataʻiʻulua ‘i Fonuamotu,Tonga,672119030,Stub
San Tun,Myanmar,672156082,Stub
Masahiro Futahashi,Japan,672284154,Stub
Yannis Moralis (politician),Greece,672515581,Stub
Macarena Escudero,Argentina,672547562,Stub
André Boulloche,France,672709444,Stub
Miroslav Poche,Czech Republic,672862914,Stub
Vojtěch Mynář,Czech Republic,673008587,Stub
Norma Colpari,Argentina,673393730,Stub
Roosevelt Jayjay,Liberia,674487383,Stub
Joshua Nii Laryea Afotey-Agbo,Ghana,674576443,Stub
Military Committee of the Congolese Party of Labour,Congo,674702694,Stub
Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,Stub
Ahmad bin Eid al-Thani,Qatar,675271208,Stub
Liga Federal,Uruguay,675303236,C
George Samuel Ranglin,Jamaica,675376529,Stub
Rubén Pellanda,Argentina,676040670,Stub
Raúl Lacabanne,Argentina,676043559,Stub
Juan Carlos Reyes (governor),Argentina,676044272,Stub
Bernardo Bas,Argentina,676498385,Stub
Alexander Dunphy,Canada,676610041,Stub
Gordon Dawe,Canada,676612108,Stub
Bijai Prasad,Fiji,676661990,Stub
Barton Scotland,Guyana,676691070,Stub
Paul Thoms,Canada,676732644,Stub
Frederick B. Rowe,Canada,676734572,Stub
Allan Evans (politician),Canada,676782180,Stub
Andries Botha,Cape Colony,676828191,B
Asesela Sadole,Fiji,676841743,Stub
Luke Woodrow,Canada,676947124,Stub
William G. Patterson,Canada,677094551,Stub
Simeon Bouro,Solomon Islands,677317570,Start
Salisu Buhari,Nigeria,677435096,Stub
Hou Zongbin,China,677516121,Stub
Jorge Zavala,Ecuador,677523953,Stub
Harry Quaderer,Liechtenstein,677568976,Stub
Freeman White (politician),Canada,677724847,Stub
Leneuoti Matusi,Tuvalu,677747943,Stub
Second Toafa Ministry,Tuvalu,677750304,Start
William J. MacNeil,Canada,677769770,Stub
Miguel Cané,Argentina,677786528,Start
Gabriel Antonio Pereira,Uruguay,677974642,Stub
Wilhelm Wallbaum,Germany,678140107,Stub
List of São Toméan politicians,Sao Tome and Principe,678440540,Stub
Larbi Messari,Morocco,678532348,Start
Sergey Zorin,Russia,678595657,Stub
Fakhrul Islam,Pakistan,678638092,Stub
Cora Amalia Castilla,Mexico,678721991,Stub
Victor Macky,New Zealand,679247120,Start
Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub
Mohamed Mohamud Hayd,Somalia,679509452,Stub
Sergey Kalyakin,Belarus,679547012,Stub
List of Slovenian politicians,Slovenia,679559247,Stub
Mateo Vidal,Uruguay,679591301,Stub
John Collins (Canadian politician),Canada,679623758,Stub
Osea Gavidi,Fiji,679873929,Start
Cui Yuying,China,680016822,Start
Abdul Rahim Ishak,Singapore,680036029,Start
Gumercinda Páez,Panama,680071857,GA
Des Dalton,Ireland,680161213,Start
Claude Pivi,Guinea,680174895,Stub
Charles William Hutton,Cape Colony,680205631,C
Bernardo Grinspun,Argentina,680370867,Stub
Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,Stub
Michael Konelios,Marshall Islands,680614363,Stub
Malik Khuda Buksh Tiwana,Pakistan,680618398,Stub
Barry Hynes,Canada,680618797,Stub
"Domonkos II, Archbishop of Esztergom",Hungary,680629551,Stub
Veríssimo Aguiar Cabral,Portugal,680680191,Stub
Federico Policani,Panama,680722683,Stub
Alexander Barybin,Russia,680886613,Stub
Hossam Arafat (politician),Palestinian Territory,680933208,Stub
Book:Australian Prime Ministers,Australia,680981536,Stub
Laura Alvarez,United Kingdom,681177706,Stub
Mirosław Czech,Poland,681605695,Stub
Poli Karastoyanova,Bulgaria,682145001,Start
Actisanes,Ethiopia,682149007,Stub
Azhar Cachalia,South Africa,682166816,Stub
William Fairbridge,Rhodesian,682576258,Start
Simona-Alice Man,Romania,682928660,Stub
Jerônima Mesquita,Brazil,683020488,Stub
Jose Solis,Philippines,683282915,Stub
Viriato Fiallo,Dominican Republic,683417360,Start
Rodolfo Gabrielli,Argentina,683631802,Stub
Eli Wong,Malaysia,683715284,Stub
Horácio de Matos,Brazil,683946857,Stub
Brendan Howard,Canada,684050793,Stub
Benigno Andrade Flores,Ecuador,684060626,Stub
Yury Zaostrovtsev,Russia,684179656,Stub
Patrick Mutono,Uganda,684295893,Stub
Giuseppe Fenaroli Avogadro,Italy,684464777,Stub
Afonso Pedro Canga,Angola,684499128,Stub
Wilhelm von Wedell-Piesdorf,Germany,684525811,Stub
Hans Graf von Schwerin-Löwitz,Germany,684537777,Stub
Geoff Muntz,Australia,684542057,Start
Martiros Sarukhanyan,Armenia,684660655,Stub
Maria del Pilar Hurtado,Colombia,684804678,Stub
Giovanni Bovara,Italy,684821806,Start
Zvonimir Mršić,Croatia,684859066,Stub
Julius Muthamia,Kenya,684879320,Start
Wilson Callan,Canada,684903534,Stub
Rod Moores,Canada,684903869,Stub
Georges Adwan,Lebanon,685116600,Stub
Muhammad Musa al-Amri,Yemen,685320824,Start
Murray Hill Incorporated,United States,685347694,Stub
Aníbal Diniz,Brazil,685720694,Stub
Slaheddine Ben Mbarek,Tunisia,686050095,Stub
Ali Fawzi Rebaine,Algeria,686269631,Stub
Jochen Ott,Germany,686349441,Stub
Aleksander Miller,Poland,686375687,Stub
Sergei Gaidukevich,Belarus,686406513,Stub
President of Taiwan,Taiwan,686619225,Stub
Siosifa Tuʻitupou Tuʻutafaiva,Tonga,686777395,Start
Qandil Cabinet,Egypt,687093229,C
Ivo Andrić-Lužanski,Bosnia-Herzegovina,687109778,Stub
Earl Asim Martin,Saint Kitts and Nevis,687127320,Stub
Raúl Borrás,Argentina,687130572,Stub
Roque Carranza,Argentina,687134370,Stub
Germán López (politician),Argentina,687138552,Stub
Electoral history of Mohammad Khatami,Iran,687159388,Start
Electoral history of Mahmoud Ahmadinejad,Iran,687159391,Start
Electoral history of Ali Larijani,Iran,687159546,Start
Meng Xiangwei,China,687160422,Stub
House of Theemuge,Maldives,687285060,Stub
Ata Messan Ajavon Zeus,Togo,687492743,Stub
John Rogers (Irish lawyer),Ireland,687613810,Stub
Mustafa Osman Obeid Salim,Sudan,687837173,Stub
Tito Hoz de Vila,Bolivia,687882717,Start
Alexandré Barro Chambrier,Gabon,688145583,Start
Md. Moniruzzaman Moni,Bangladesh,688430552,Stub
Benjamin Green Freeman,Liberia,688501356,Stub
Han Tha Myint,Myanmar,688524967,Stub
Willem Buys,Netherlands,688537236,Stub
Joseph Gustave Ernest Allard,Belgium,688590526,Stub
Takis Papageorgopoulos,Greece,688695923,Stub
List of 2010 Canadian incumbents,Canada,688697227,Start
Zhu Haowen,China,688763099,Stub
Abu Samah Mohd Kassim,Malaysia,689248087,Stub
Stanislaus Okurut,Uganda,689614169,Stub
Ilmi Hallsten,Finland,689893447,Stub
Zhao Dezun,China,689932213,Stub
Mario Occhiuto,Italy,689944992,Stub
Leszek Deptuła,Poland,689950541,Stub
Sergei Walter,Ukraine,690074710,Start
List of mayors of Radoviš,Macedonia,690088836,Stub
"Péter Szilágyi (politician, 1981)",Hungary,690152474,Start
Harold Collins (Canadian politician),Canada,690205437,Stub
R. G. Balan,Malaysia,690430012,Stub
Vítor Aleixo,Portugal,690548204,Stub
Tuomas Pohjanpalo,Finland,690700220,Stub
Zhang Chang (Han),China,690768683,Stub
Lei Chunmei,China,690770856,Stub
Franci Slak,Slovenia,691045510,Start
Abdus Sattar Mondal,Bangladesh,691201135,Stub
Bashir Saadawi,Libya,691346630,Stub
Igwe Aja-Nwachukwu,Nigeria,691389889,Stub
Speaker of the Legislative Assembly of the Province of Canada,Canada,691747234,Stub
Josif Pashko,Albania,692123101,Stub
Ahmed Jamsheed Mohamed,Maldives,692141335,Stub
Kerfalla Yansané,Guinea,692173141,Stub
Amadou Konare,Mali,692298286,Stub
João Alberto de Souza,Brazil,692475749,Stub
Mote Terukaio,Kiribati,692502721,Stub
Tekiau Aretaateta,Kiribati,692502986,Stub
Marie-José Laloy,Belgium,692684868,Stub
Émile Marie Laurent,France,693011077,Stub
Mahamat Hissene,Chad,693055898,Stub
Rafael Tobias de Aguiar,Brazil,693179500,Stub
Phạm Thị Trân Châu,Vietnam,693208023,Stub
David Pacha,Solomon Islands,693211421,Stub
Charles Oboth Ofumbi,Uganda,693292931,Start
Lu Ruilin,China,693336296,Stub
Lalbuaia,India,693337130,Stub
Ian Brossat,France,693338177,Stub
Yuan Baocheng,China,693354280,Stub
Pumla Kisosonkole,Uganda,693388584,Start
Ivo Nesrovnal,Slovakia,693431430,Stub
Pekka Pesola,Finland,693514155,Stub
Jean Capelle (politician),France,693552292,Stub
Magnús Norðdahl,Iceland,693573541,Stub
John Blades Currey,Cape Colony,693624260,Stub
Li Zaihe,China,693661018,Stub
Guillermo Montenegro,Argentina,693714773,Stub
Khas-Ochiryn Luvsandorj,Mongolia,693721533,Stub
Michele Columbu,Italy,693748230,Stub
Li Sancai,China,693817205,C
Martin Zephyr,Guyana,694039903,Stub
Khadyr Saparlyev,Turkmenistan,694084978,Stub
Arouna Mama,Benin,694112087,Stub
List of Dutch politicians,Netherlands,694313944,B
Robert Bohn Sikol,Vanuatu,694335820,C
Javier Reátegui,Peru,694337217,Stub
Mamadou Djigué,Mali,694364743,Stub
Zaur Avidzba,Abkhazia,694519009,Start
Nyamyn Jagvaral,Mongolia,694557304,Start
Mahadeo Deole,India,694588693,Stub
Ngo Dinh Khoi,Vietnam,694815600,Stub
Jorge Lemus,Argentina,694889020,Stub
Viktor Magnus von Born,Finland,694949199,Stub
Lennart Byman,Finland,694949347,Stub
Hamid Khan Achakzai,Pakistan,694954386,Stub
Johan Helo,Finland,694969219,Stub
Gunnar Henriksson,Finland,694969272,Stub
Cecilia Soria,Argentina,695276940,Stub
Francisco de Arango y Parreño,Cuba,695389357,Start
Tian Xiangli,China,695393414,Stub
Ridha Charfeddine,Tunisia,695405443,Stub
Tjapko Poppens,Netherlands,695633280,Stub
Pradip Kumar Gyawali,Nepal,695644408,Start
Thierry Poyet,Monaco,695938011,Stub
Eric Elena,Monaco,695941127,Stub
Kalikst Witkowski,Poland,696119166,Stub
Nikos Markatos,Greece,696253449,Start
Dobrilo Dedeić,Montenegro,696310078,Stub
Navin Patel,Fiji,696350624,Stub
Christopher Nwankwo,Nigeria,696479863,Stub
Electoral history of Atal Bihari Vajpayee,India,696606312,Stub
Khanzahi,Iran,696608092,Stub
Palden Tsering Gyamtso,India,696608668,Stub
Soledad Sosa,Argentina,697009255,Stub
Shafi U Ahmed,Bangladesh,697267319,Stub
Omar Benjelloun,Morocco,697280332,Stub
Fernão Martins da Fonseca Coutinho,Portugal,697369222,Stub
Jean-François Robillon,Monaco,697507956,Start
Lhatu Wangchuk,Bhutan,697511001,Stub
Tek Bahadur Gurung,Nepal,697556836,Start
Mohammad Sultan,Bangladesh,697559666,Start
Gaya Prasad,India,697662367,Stub
Political Bureau of the Central Committee of FRELIMO,Mozambique,697742639,Stub
Old Men Forget,United Kingdom,697897076,Stub
Satini Manuella,Tuvalu,697908533,Stub
S. Ganesan,India,698048774,Stub
"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada,698077739,Stub
"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",Spain,698093715,Start
Rameshwor Phuyal,Nepal,698241676,Stub
Rishi Kattel,Nepal,698253253,Stub
Peter Arnold (politician),Australia,698345894,Stub
Sushila Chaudhary,Nepal,698571611,Stub
Mahendra Dhoj G.C.,Nepal,698571613,Stub
Sher Bahadur Tamang,Nepal,698571631,Stub
Hari Bahadur Khadka,Nepal,698571634,Stub
Tirtha Bahadur Lama,Nepal,698571661,Stub
Vishwendraman Pashwan,Nepal,698571662,Stub
Tuluram Rajbanshi,Nepal,698571672,Stub
Hari Lal Joshi,Nepal,698571717,Stub
Arjun Jang Bahadur Singh,Nepal,698571731,Stub
Prem Lal Singh,Nepal,698571738,Stub
Sebaki Devi Das Tatma,Nepal,698571745,Stub
Chandra Bahadur Gurung,Nepal,698571747,Stub
Krishna Das Shrestha,Nepal,698571748,Stub
Om Prakash Yadav Gulzari,Nepal,698571750,Stub
Omprakash Yadav,Nepal,698571758,Stub
Hari Parajuli,Nepal,698571782,Stub
Ishwar Dayal Mishra,Nepal,698571785,Stub
Sher Dhan Rai,Nepal,698571803,Stub
Bhim Bahadur Tamang,Nepal,698572100,Start
Bedanand Jha,Nepal,698572160,Stub
Mohan Prasad Pandey,Nepal,698572183,Stub
Shekha Nath Adhikari,Nepal,698572200,Stub
Dev Raj Joshi,Nepal,698572239,Stub
Tarinee Datt Chataut,Nepal,698572252,Stub
Rabindra Nath Sharma,Nepal,698572269,Stub
Tek Bahadur Chokhyal,Nepal,698572288,Stub
Dip Kumar Upadhaya (Lamichhane),Nepal,698572291,Stub
Brijesh Kumar Gupta,Nepal,698572322,Stub
Harka Bahadur Singh,Nepal,698572326,Stub
Mohammad Estiyak Rai,Nepal,698573619,Stub
Rameshwor Prasad Dhungel,Nepal,698573648,Stub
Parbati Chaudhary,Nepal,698573657,Stub
Ram Hari Subedi,Nepal,698573663,Stub
Malabar Singh Thapa,Nepal,698573690,Stub
Yagya Bahadur Basnyat,Nepal,698573707,Stub
Narayan Singh Pun,Nepal,698573738,Stub
Ram Ayodhya Prasad Yadav,Nepal,698575586,Stub
Ramnath Dhakal,Nepal,698575613,Stub
Sher Bahadur Kunwor,Nepal,698575620,Stub
Ram Bir Manandhar,Nepal,698575646,Stub
Radhe Chandra Yadav,Nepal,698575662,Stub
Til Kumar Menyangbo Limbu,Nepal,698575677,Stub
Tirtha Ram Dangol,Nepal,698575695,Stub
Rajendra Kumar KC,Nepal,698575714,Stub
Lekh Nath Neupane,Nepal,698582041,Stub
Frank Lark,New Zealand,698635954,Start
Dorji Namgyal,Bhutan,698806662,Stub
Ugyen Tshering,Bhutan,698806682,Stub
Ibrahim Didi,Maldives,698807297,Stub
Ibrahim Saleem,Maldives,698807322,Stub
Mohamed Munavvar,Maldives,698807325,Start
Mohamed Zahir Hussain,Maldives,698807337,Stub
Azima Shukoor,Maldives,698807345,Stub
Mohamed bin Hajj Ali Thukkala,Maldives,698807371,Stub
Mahmood Razi,Maldives,698807791,Stub
"List of members of the Løgting, 1998–2002",Faroese,698865505,Start
Kumaraswamy Nandagopan,Sri Lanka,698946168,Stub
V. Sivayogan,Sri Lanka,698946169,Stub
P. Ariyaratnam,Sri Lanka,698947539,Stub
V. Edirmannasingham,Sri Lanka,698947672,Stub
K. Vignarajah,Sri Lanka,698947841,Stub
M. Manickam,Sri Lanka,698948097,Stub
S. R. P. Sraiva,Sri Lanka,698948150,Stub
Štefan Osuský,Slovakia,698964210,C
Elżbieta Branicka,Poland,699022350,Stub
S. Pasupathipillai,Sri Lanka,699090098,Stub
Ananda Kumarasiri,Sri Lanka,699090515,Stub
Manuel Martin (conquistador),Spain,699093655,Stub
Thein Tun,Myanmar,699105110,Stub
Khin Yi,Myanmar,699105313,Stub
Win Aung,Myanmar,699105350,Start
Sao Seng Suk,Myanmar,699105456,Stub
Maung Oo,Myanmar,699105911,Start
Nai Htaw Sorn,Myanmar,699105927,Start
Sein Myint,Myanmar,699105952,Stub
Khin Maung Thein,Myanmar,699105999,Stub
Kyaw Swa Khaing,Myanmar,699106128,Stub
Khin San Hlaing,Myanmar,699106152,Stub
Tin Hlaing,Myanmar,699106649,Stub
Thein Swe,Myanmar,699106665,Stub
Mohammad Temim,Morocco,699136209,Stub
Teodor Szybiłło,Poland,699143672,Stub
Prapat Panyachatraksa,Thailand,699197059,Stub
Suwat Liptapanlop,Thailand,699197123,C
Sutham Sangprathum,Thailand,699197323,Stub
Virachai Virameteekul,Thailand,699197850,Start
Theera Wongsamut,Thailand,699198463,Start
Kraisak Choonhavan,Thailand,699198744,Start
Chob Yodkaew,Thailand,699199094,Stub
Mönkhchuluuny Zorigt,Mongolia,699217035,Stub
Nyamjavyn Batbayar,Mongolia,699217197,Stub
Fritz Hofmann (politician),Switzerland,699244801,Stub
Andriy Veselovsky,Ukraine,699336500,Start
Ivan Maistrenko,Ukraine,699336835,Stub
Yury Lutovinov,Russia,699336991,Start
Ihor Kharchenko,Ukraine,699337057,Start
Mykola Hrabar,Ukraine,699337076,Stub
Emil Byk,Austria,699337845,Stub
Ihor Dushyn,Ukraine,699338274,Stub
Victor Său,Moldova,699338569,Stub
Vasiliy Pokotilo,Russia,699339086,Stub
Iuliana Gorea-Costin,Moldova,699339429,Start
Alexandru Codreanu,Moldova,699339451,Stub
Paweł Adamowicz,Poland,699339741,Stub
Ioan Străjescu,Romania,699339799,Stub
Alexandru Cantacuzino,Romania,699339851,Stub
Eugen Bejinariu,Romania,699340034,Stub
Juliusz Leo,Poland,699340111,Stub
Leo Goldhammer,Israel,699340192,Start
Ivan Tkachenko (politician),Moldova,699340750,Stub
Yevsey Gindes,Azerbaijan,699340982,Start
Pavel Parasca,Moldova,699341069,Start
Albin Dunajewski,Poland,699341077,Stub
Sospeter Machage,Kenya,699341277,Start
Franciszek Bajorek,Poland,699359388,Start
Mohamed Charfi,Tunisia,699363937,Stub
Don Ferguson (South Australian politician),Australia,699385095,Stub
Keith Plunkett,Australia,699387282,Stub
Kym Mayes,Australia,699387500,Stub
Max Brown (politician),Australia,699387764,Stub
Wyllys–Haynes family,United States,699520934,Start
Viktor Anpilov,Russia,699565471,Stub
Derek Nally,Ireland,699589239,Stub
Fiqirete Shehu,Albania,699674395,Stub
Fan Chuo (Tang dynasty),China,699691415,Start
Óscar Moncada,Nicaragua,699692070,Stub
